district,state,district_census_code,state_census_code,total,rural,urban
Harda,Madhya Pradesh,448,23,1870,2158,
Hoshangabad,Madhya Pradesh,449,23,1053,838,1688
Katni,Madhya Pradesh,450,23,4229,1439,
Jabalpur,Madhya Pradesh,451,23,1252,731,1877
Narsimhapur,Madhya Pradesh,452,23,1636,1761,
Dindori,Madhya Pradesh,453,23,582,552,
Mandla,Madhya Pradesh,454,23,751,626,
Chhindwara,Madhya Pradesh,455,23,1251,1107,
Seoni,Madhya Pradesh,456,23,649,688,
Balaghat,Madhya Pradesh,457,23,1613,1585,
Guna,Madhya Pradesh,458,23,1044,1120,
Ashoknagar,Madhya Pradesh,459,23,864,978,
Shahdol,Madhya Pradesh,460,23,1067,943,
Anuppur,Madhya Pradesh,461,23,870,876,
Sidhi,Madhya Pradesh,462,23,884,915,
Singrauli,Madhya Pradesh,463,23,1192,567,
Jhabua,Madhya Pradesh,464,23,927,935,
Alirajpur,Madhya Pradesh,465,23,754,760,
Khandwa (East Nimar),Madhya Pradesh,466,23,753,772,
Burhanpur,Madhya Pradesh,467,23,592,446,845
Kachchh,Gujarat,468,24,779,-450,-1851
Banaskantha,Gujarat,469,24,3417,3467,
Patan,Gujarat,470,24,1756,915,
Mahesena,Gujarat,471,24,1820,-1806,
Sabarkantha,Gujarat,472,24,2084,-2183,
Gandhinagar,Gujarat,473,24,980,-582,-1564
Ahmadabad,Gujarat,474,24,2596,,-2660
Surendranagar,Gujarat,475,24,2199,2064,
Rajkot,Gujarat,476,24,2323,*,*
Jamnagar,Gujarat,477,24,1824,-1028,-2595
Porbandar,Gujarat,478,24,1493,1433,-1637
Junagadh,Gujarat,479,24,2232,-2191,-2304
Amreli,Gujarat,480,24,2554,-2342,
Bhavnagar,Gujarat,481,24,1895,-2143,-1559
Anand,Gujarat,482,24,1745,-1708,*
Kheda,Gujarat,483,24,9079,10717,
Panchmahal,Gujarat,484,24,1892,-1941,
Dohad,Gujarat,485,24,1236,1184,
Vadodara,Gujarat,486,24,1151,742,-1793
Narmada,Gujarat,487,24,506,522,
Bharuch,Gujarat,488,24,1247,-1024,*
The Dangs,Gujarat,489,24,400,422,
Navsari,Gujarat,490,24,1664,-717,*
Valsad,Gujarat,491,24,3422,-1462,*
Surat,Gujarat,492,24,1248,,-1361
Tapi,Gujarat,493,24,945,916,
Diu,Daman & Diu,494,25,1520,-739,*
Daman,Daman & Diu,495,25,1591,,-2174
Nandurbar,Maharashtra,497,27,14448,15329,
Dhule,Maharashtra,498,27,2460,2595,
Jalgaon,Maharashtra,499,27,2558,-2580,-2487
Buldhana,Maharashtra,500,27,1739,1767,
Akola,Maharashtra,501,27,1759,1711,-1941
Washim,Maharashtra,502,27,2093,2106,
Amravati,Maharashtra,503,27,6546,5118,-9867
Wardha,Maharashtra,504,27,2796,3049,2259
Nagpur,Maharashtra,505,27,1911,1837,1949
Bhandara,Maharashtra,506,27,2148,2060,
Gondiya,Maharashtra,507,27,1390,1483,
Gadchiroli,Maharashtra,508,27,889,789,
Chandrapur,Maharashtra,509,27,1803,1858,-1560
Yavatmal,Maharashtra,510,27,1938,2060,
